cgc_id,sequence
MGYG000290000_2|CGC1,"2.A.115,null,1.A.30,null,2.A.51,2.A.51,GH36,GH13,GT2,null,3.A.1,GH13_14,GH97,GH77,3.A.1"
MGYG000290000_2|CGC2,"CBM50,GT2,GT4,null,1.B.57"
MGYG000290000_2|CGC3,"8.A.46,1.B.14,GH13_7,GH53"
MGYG000290000_2|CGC4,"9.B.146,null,2.A.103,GT28"
MGYG000290000_3|CGC1,"PL40|PL40,GH97,GH28,HTH_AraC,GerE,1.B.14"
MGYG000290000_3|CGC2,"GH146,null,null,GH88,GH3,null,8.A.46,1.B.14,GH16_3,HTH_AraC|HTH_AraC,GH51"
MGYG000290000_4|CGC1,"1.A.34,GH2,GH31,GH5_4"
MGYG000290000_4|CGC2,"1.B.14,GT2"
MGYG000290000_4|CGC3,"2.A.123,GT2,GT83"
MGYG000290000_5|CGC1,"GH73,null,3.D.1,3.D.1,3.D.9,3.D.1,null,Fer4|Fer4,3.D.1,3.D.1,3.D.1,3.D.1,GH2"
MGYG000290000_6|CGC1,"1.B.6,3.D.6,3.D.6,3.D.6,3.D.6,3.D.6,3.D.6,null,GH139"
MGYG000290000_6|CGC2,"PL1_2,HTH_AraC|HTH_AraC,GH2,null,GH106,GH2,GH140,CBM67|GH78|GH33,GH138,GH137|GH2|CBM57,GH2,PL1_2,null,null,1.B.14,null,GH43_18|GH143|GH142,CBM67|GH78,CE19,GH95,PL11_1,null,null,1.B.14"
MGYG000290000_7|CGC1,"GT2,null,2.A.19"
MGYG000290000_7|CGC2,"2.A.28,null,null,PL1"
MGYG000290000_7|CGC3,"1.B.14,GH3"
MGYG000290000_9|CGC1,"GH23,null,HTH_3,8.A.3,null,GT19"
MGYG000290000_10|CGC1,"1.B.14,GH146,GH127,null,GT4"
MGYG000290000_11|CGC1,"3.A.17,null,null,GT51,null,null,GH57,GT4,GH133,null,null,1.A.22"
MGYG000290000_12|CGC1,"GH13_14,2.A.7,null,4.A.2"
MGYG000290000_12|CGC2,"2.A.7,null,GH28|GH105,null,null,GH28,1.B.14,null,null,GH28"
MGYG000290000_13|CGC1,"3.A.5,null,null,GT5,null,null,3.B.1"
MGYG000290000_15|CGC1,"9.B.186,GT51,null,null,1.B.14"
MGYG000290000_15|CGC2,"GT4,null,2.A.23"
MGYG000290000_15|CGC3,"GH51|GH43_19,null,1.B.14"
MGYG000290000_15|CGC4,"1.B.14,null,GH128"
MGYG000290000_16|CGC1,"GH43_12,GH2,NTP_transf_2,null,1.B.14"
MGYG000290000_16|CGC2,"8.A.46,1.B.14,GH94,GH3,GH5_7"
MGYG000290000_17|CGC1,"9.B.18,GT35,GT3"
MGYG000290000_18|CGC1,"GH51,GH43_5,GH43_4,null,1.B.14"
MGYG000290000_18|CGC2,"CE12,null,null,1.B.44"
MGYG000290000_19|CGC1,"9.B.10,null,GH25,null,2.A.66"
MGYG000290000_21|CGC1,"9.A.25,null,9.A.25,null,null,GH32,null,null,3.A.11"
MGYG000290000_23|CGC1,"1.B.14,HTH_AraC|HTH_AraC,GH115"
MGYG000290000_25|CGC1,"GH53,null,8.A.46,1.B.14,null,3.A.1"
MGYG000290000_26|CGC1,"GT9,null,3.D.1"
MGYG000290000_26|CGC2,"GH2,8.A.5"
MGYG000290000_29|CGC1,"GH31,HTH_AraC,null,2.A.115"
MGYG000290000_32|CGC1,"GH95,CE1,1.B.14,null,GH43_2,GH43_7,GH9,null,GH3"
MGYG000290000_34|CGC1,"1.B.14,2.A.2,HTH_AraC|HTH_AraC,GH67"
MGYG000290000_35|CGC1,"CE4,null,3.A.1,3.A.1,2.A.25"
MGYG000290000_36|CGC1,"1.B.14,null,GH32,2.A.1,PfkB,GH36"
MGYG000290000_37|CGC1,"1.B.14,CE7,GH26,GH130,2.A.2"
MGYG000290000_51|CGC1,"GH2,1.B.42,3.A.1,3.A.1"
MGYG000290000_56|CGC1,"2.A.17,null,CBM50"
MGYG000290000_59|CGC1,"2.A.23,GT51,null,GH115,3.A.1"
MGYG000290003_3|CGC1,"2.A.66,2.A.38,GT0"
MGYG000290003_5|CGC1,"1.C.105,null,GH18"
MGYG000290003_15|CGC1,"2.A.66,null,null,GH3"
MGYG000290003_22|CGC1,"2.A.78,2.A.78,null,null,GH2,null,null,3.A.1"
MGYG000290003_23|CGC1,"GT28,null,9.B.104"
MGYG000290003_25|CGC1,"GH1,GH94,LacI,null,3.A.1,3.A.1,3.A.1,3.A.1"
MGYG000290003_49|CGC1,"GT4,GT2,null,3.A.1"
MGYG000290003_87|CGC1,"3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,LacI,GH77,3.A.1,3.A.1"
MGYG000290003_106|CGC1,"3.A.1,GH31"
MGYG000290003_125|CGC1,"3.A.7,null,null,CBM48|GH13_9"
MGYG000290003_130|CGC1,"GT4,null,9.B.18"
MGYG000290003_141|CGC1,"8.A.3,null,GT4,null,null,GT2"
MGYG000290005_1|CGC1,"9.B.18,null,9.B.18,null,GT2,GT4"
MGYG000290005_13|CGC1,"2.A.19,GT2,1.A.8"
MGYG000290006_4|CGC1,"8.A.3,8.A.3,9.B.18,9.B.18,GT4,9.B.183,null,null,GT4,null,GT2,GT2"
MGYG000290006_4|CGC2,"3.A.1,3.A.1,GT2,GT2,null,GT32"
MGYG000290006_6|CGC1,"3.A.16,CBM34|GH13_39,3.A.10"
MGYG000290006_6|CGC2,"2.A.115,8.A.7,4.A.1,PTS-HPr,LacI,GH32"
MGYG000290006_7|CGC1,"4.A.2,null,3.A.1,3.A.1,3.A.1,LacI,GH77,3.A.1,3.A.1,3.A.1"
MGYG000290006_10|CGC1,"CE4,null,null,3.A.9"
MGYG000290006_18|CGC1,"9.B.144,null,null,GH18,2.A.25"
MGYG000290006_24|CGC1,"CE4,null,null,2.A.1"
MGYG000290006_39|CGC1,"GT35,2.A.37,null,9.A.8"
MGYG000290006_42|CGC1,"4.C.1,GH3,HTH_AraC|HTH_AraC,8.A.59,Peripla_BP_1,null,9.A.11"
MGYG000290006_42|CGC2,"CE4,3.A.1,3.A.1,null,2.A.114"
MGYG000290006_42|CGC3,"GT2,null,9.B.18,GT2,GT2|GT2"
MGYG000290006_43|CGC1,"3.A.1,null,null,GH13"
MGYG000290006_61|CGC1,"GH73,1.E.19"
MGYG000290006_68|CGC1,"3.D.10,null,CE9"
MGYG000290006_76|CGC1,"CBM34|GH13_20,SBP_bac_1,3.A.1,3.A.1,9.B.20"
MGYG000290006_95|CGC1,"GT0,GT2,null,null,3.A.1,null,GT2,9.B.18"
MGYG000290006_99|CGC1,"2.A.66,null,3.A.1,3.A.1,3.A.1,3.A.1,null,3.A.1,null,3.A.1,Nitroreductase|Nitroreductase,null,GH2,2.A.2,GH36"
MGYG000290006_104|CGC1,"GH13_9,GH13_20,TetR_N,null,3.A.1"
MGYG000290006_111|CGC1,"3.A.1,3.A.1,GH32,GH13_4"
MGYG000290007_12|CGC1,"GT2|GT2,4.D.1"
MGYG000290007_41|CGC1,"3.A.1,3.A.1,HTH_AraC|HTH_AraC,GH43_1,GH120,3.A.16,GH13_11"
MGYG000290007_51|CGC1,"9.B.18,null,GT2"
MGYG000290007_65|CGC1,"GH5_37,MarR,2.A.21"
MGYG000290007_98|CGC1,"GT2,Aminotran_1_2,3.A.1,null,3.A.1,2.A.50"
MGYG000290007_102|CGC1,"8.A.7,GT51,null,null,3.A.9"
MGYG000290007_141|CGC1,"GH3,2.A.66"
MGYG000290007_162|CGC1,"1.A.1,null,GH3"
MGYG000290007_199|CGC1,"3.A.1,3.A.1,GH5_2|GT2|GT2"
MGYG000290007_227|CGC1,"GH31,8.A.59"
MGYG000290007_289|CGC1,"9.B.34,null,null,GT4,9.B.18,GT2"
MGYG000290007_299|CGC1,"4.C.1,null,4.C.1,8.A.59,GT2"
MGYG000290007_348|CGC1,"GT2,null,3.A.1"
MGYG000290007_382|CGC1,"8.A.59,GH2"
MGYG000290007_401|CGC1,"1.C.109,null,null,GT5"
MGYG000290008_2|CGC1,"3.D.1,GH2,3.A.1"
MGYG000290008_3|CGC1,"GT4,GT4,9.B.18,8.A.3,8.A.3,HD,3.A.1,3.A.1,3.A.1"
MGYG000290008_3|CGC2,"CE4,9.B.157"
MGYG000290008_4|CGC1,"GH27,null,3.A.1"
MGYG000290008_6|CGC1,"3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,GH36"
MGYG000290008_7|CGC1,"3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,GH36,null,2.A.66"
MGYG000290008_7|CGC2,"3.A.1,null,GT4"
MGYG000290008_8|CGC1,"GH2,2.A.1"
MGYG000290008_8|CGC2,"9.B.146,2.A.103,GT28"
MGYG000290008_9|CGC1,"9.B.18,null,null,GT4"
MGYG000290008_9|CGC2,"GT4,null,2.A.66"
MGYG000290008_9|CGC3,"9.B.97,null,GT2"
