cgc_id,sequence
MGYG000296000_1|CGC1,"CE11,null,3.A.1"
MGYG000296000_2|CGC1,"9.B.146,null,2.A.103,GT28,null,null,9.B.157"
MGYG000296000_3|CGC1,"GH13_2,null,null,3.A.1,null,null,2.A.53,null,1.B.81"
MGYG000296000_4|CGC1,"GT51,null,null,3.A.1"
MGYG000296000_5|CGC1,"1.B.14,GH171"
MGYG000296000_8|CGC1,"2.A.21,PIG-L,2.A.7,null,2.A.21,null,GT2"
MGYG000296000_9|CGC1,"GT4,9.B.144"
MGYG000296000_10|CGC1,"3.A.1,null,3.A.1,null,GT2"
MGYG000296000_14|CGC1,"1.B.14,null,null,GH16_3,null,GH3,GH5_46|CBM6|CBM6"
MGYG000296000_22|CGC1,"CE14,null,null,9.B.14,null,null,9.B.14"
MGYG000296000_22|CGC2,"2.A.35,GT2"
MGYG000296000_26|CGC1,"1.B.14,GH20,GH2"
MGYG000296001_12|CGC1,"GT4,null,3.A.1"
MGYG000296001_30|CGC1,"3.A.1,2.A.2,GH13_11"
MGYG000296001_39|CGC1,"1.A.1,GT9"
MGYG000296001_45|CGC1,"GH57,null,3.A.1"
MGYG000296001_52|CGC1,"GT2,null,3.A.1"
MGYG000296001_64|CGC1,"1.A.12,null,AAA,9.B.160,null,GT2,null,3.A.1"
MGYG000296001_148|CGC1,"9.B.100,null,null,GT83"
MGYG000296001_183|CGC1,"9.A.40,null,GH0"
MGYG000296001_186|CGC1,"3.D.3,null,GH23"
MGYG000296001_252|CGC1,"8.A.21,2.A.7,GT4"
MGYG000296002_3|CGC1,"2.A.86,null,null,GT2"
MGYG000296002_3|CGC2,"GT2,null,3.A.15"
MGYG000296002_3|CGC3,"3.A.5,1.A.34,null,CE11"
MGYG000296002_10|CGC1,"GH23,null,null,2.A.19"
MGYG000296002_11|CGC1,"GH23,2.A.1"
MGYG000296002_14|CGC1,"9.B.18,9.B.146,GT4"
MGYG000296002_19|CGC1,"9.B.146,null,2.A.103,GT28"
MGYG000296002_26|CGC1,"GH103,2.A.103"
MGYG000296002_32|CGC1,"GH23,2.A.102"
MGYG000296002_34|CGC1,"1.A.23,GH3,3.A.1,3.A.1"
MGYG000296002_43|CGC1,"3.A.1,null,GH23"
MGYG000296003_1|CGC1,"3.B.1,null,null,GT2"
MGYG000296003_1|CGC2,"8.A.21,GH23,null,GT4"
MGYG000296003_1|CGC3,"2.A.1,2.A.21,null,2.A.21,GH3,null,null,3.A.1"
MGYG000296003_10|CGC1,"GH30_3,null,9.B.158"
MGYG000296003_11|CGC1,"GT28,2.A.103,null,9.B.146"
MGYG000296004_1|CGC1,"AA3_2,null,HTH_1,2.A.5"
MGYG000296004_1|CGC2,"4.C.1,null,HTH_1,GH23"
MGYG000296004_1|CGC3,"9.B.18,1.B.73,null,null,2.A.66,9.B.18,Aminotran_1_2,null,GT0"
