CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	STP	scaffold_1	jgi_TrireRUTC30_1_67972	2448722	2450259	-	CBS+CBS
CGC1	TC	scaffold_1	jgi_TrireRUTC30_1_139867	2450918	2454653	+	1.I.1.1.3
CGC1	null	scaffold_1	jgi_TrireRUTC30_1_106196	2455379	2456389	+	null
CGC1	TF	scaffold_1	jgi_TrireRUTC30_1_106200	2456794	2457453	+	none
CGC1	null	scaffold_1	jgi_TrireRUTC30_1_56240	2457518	2458235	-	null
CGC1	TF	scaffold_1	jgi_TrireRUTC30_1_106201	2458713	2459922	+	zf-C2H2
CGC1	null	scaffold_1	jgi_TrireRUTC30_1_23384	2460399	2462407	-	null
CGC1	null	scaffold_1	jgi_TrireRUTC30_1_23385	2462976	2464425	+	null
CGC1	TF	scaffold_1	jgi_TrireRUTC30_1_68909	2465071	2468264	-	PAS+PAS+GATA
CGC1	CAZyme	scaffold_1	jgi_TrireRUTC30_1_67984	2470917	2471965	+	GT25
CGC1	null	scaffold_1	jgi_TrireRUTC30_1_106213	2472030	2475478	-	null
CGC1	null	scaffold_1	jgi_TrireRUTC30_1_32154	2476018	2476510	-	null
CGC1	CAZyme	scaffold_1	jgi_TrireRUTC30_1_139875	2477356	2483865	+	GT48
CGC1	CAZyme	scaffold_1	jgi_TrireRUTC30_1_68830	2484122	2488751	-	GT24
CGC1	null	scaffold_1	jgi_TrireRUTC30_1_94618	2489669	2493769	+	null
CGC1	null	scaffold_1	jgi_TrireRUTC30_1_106222	2493936	2494882	-	null
CGC1	TC	scaffold_1	jgi_TrireRUTC30_1_69293	2495282	2496219	-	2.A.121.2.4
CGC2	TF	scaffold_1	jgi_TrireRUTC30_1_23425	2716172	2718797	+	Zn_clus
CGC2	null	scaffold_1	jgi_TrireRUTC30_1_117311	2721938	2722546	-	null
CGC2	TC	scaffold_1	jgi_TrireRUTC30_1_106322	2722552	2724748	+	2.A.1.1.119
CGC2	TC	scaffold_1	jgi_TrireRUTC30_1_135589	2724753	2726767	-	2.A.1.1.11
CGC2	TF	scaffold_1	jgi_TrireRUTC30_1_68701	2729014	2731026	+	Zn_clus
CGC2	TC	scaffold_1	jgi_TrireRUTC30_1_135590	2732184	2734820	-	9.B.106.3.1
CGC2	null	scaffold_1	jgi_TrireRUTC30_1_135591	2735930	2736933	+	null
CGC2	TC	scaffold_1	jgi_TrireRUTC30_1_139914	2737131	2742405	-	1.A.1.5.16
CGC2	STP	scaffold_1	jgi_TrireRUTC30_1_67463	2746392	2748158	-	PALP
CGC2	null	scaffold_1	jgi_TrireRUTC30_1_32223	2749111	2749704	-	null
CGC2	CAZyme	scaffold_1	jgi_TrireRUTC30_1_70100	2750747	2752665	-	GH76
CGC2	null	scaffold_1	jgi_TrireRUTC30_1_68561	2753532	2754511	-	null
CGC2	TF	scaffold_1	jgi_TrireRUTC30_1_126393	2754637	2757797	+	none
CGC1	TF	scaffold_12	jgi_TrireRUTC30_1_100375	163182	164719	-	zf-C3HC4
CGC1	null	scaffold_12	jgi_TrireRUTC30_1_112006	165939	168824	+	null
CGC1	TC	scaffold_12	jgi_TrireRUTC30_1_123758	168872	169582	-	3.A.8.1.1
CGC1	STP	scaffold_12	jgi_TrireRUTC30_1_100385	173448	174185	+	Pribosyltran
CGC1	null	scaffold_12	jgi_TrireRUTC30_1_119450	174273	174849	-	null
CGC1	CAZyme	scaffold_12	jgi_TrireRUTC30_1_82309	175439	178845	-	GH47
CGC2	STP	scaffold_12	jgi_TrireRUTC30_1_82168	472546	474384	+	Pyr_redox_2
CGC2	TC	scaffold_12	jgi_TrireRUTC30_1_82281	475108	476975	+	2.A.1.58.5
CGC2	null	scaffold_12	jgi_TrireRUTC30_1_36398	478287	480303	+	null
