MGYG000000001_1|CGC1	2.A.85,null,CE4
MGYG000000001_1|CGC2	4.A.1,null,4.A.1,GH4
MGYG000000001_1|CGC3	2.A.2,GH3,GH3
MGYG000000001_2|CGC1	3.A.1,GH23
MGYG000000001_2|CGC2	GH2,2.A.2
MGYG000000001_3|CGC1	2.A.115,CE4
MGYG000000001_3|CGC2	GT51,null,9.A.11,9.A.11,9.A.11,9.A.11
MGYG000000001_3|CGC3	GH16|GH16_24,GH4,4.A.1,null,HTH_6,3.A.1,3.A.1,3.A.1,null,null,2.A.49
MGYG000000001_4|CGC1	GT2,null,3.A.1,3.A.1,3.A.1
MGYG000000001_5|CGC1	CBM34|GH13_20|GH13,3.A.1,null,null,3.A.1
MGYG000000001_7|CGC1	2.A.66,null,PALP,2.A.2,2.A.2,HTH_AraC|HTH_AraC,GH36,PfkB,GH13_18,GH13_18|GH13
MGYG000000001_7|CGC2	3.A.1,3.A.1,3.A.1,GH42
MGYG000000001_8|CGC1	CBM50,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1
MGYG000000001_13|CGC1	9.B.146,null,2.A.103,GT28
MGYG000000001_14|CGC1	CBM34|GH77|GH13|GH13_39,GT35,GT5,null,null,GH13|GH13_9|CBM48,8.A.21,null,null,GH13_31|GH13,GH65,null,LacI,3.A.1,3.A.1,3.A.1
MGYG000000001_15|CGC1	1.B.50,GT2
MGYG000000001_17|CGC1	2.A.66,null,null,GT2,GT2,null,GT2
MGYG000000001_18|CGC1	GH31,2.A.56,2.A.56,2.A.56
MGYG000000001_21|CGC1	2.A.1,null,null,GH73
MGYG000000001_23|CGC1	2.A.51,2.A.51,GH112,SBP_bac_1,HTH_AraC|HTH_AraC,9.B.33
MGYG000000001_27|CGC1	GH3,HATPase_c,null,2.A.66
MGYG000000001_27|CGC2	3.A.1,PAS,PAS,CBM32|CBM40|GH33
MGYG000000001_28|CGC1	2.A.66,null,CE4,null,2.A.66,NUDIX,2.A.4,null,null,2.A.21
MGYG000000001_29|CGC1	2.A.19,HATPase_c,CBM50,SBP_bac_1,null,3.A.1,3.A.1,3.A.1
MGYG000000001_37|CGC1	GT4,null,null,GT4,null,9.B.18,9.B.18,8.A.3,8.A.3
MGYG000000001_41|CGC1	2.A.36,null,CE4,9.B.20
MGYG000000001_41|CGC2	4.A.1,GH1
MGYG000000001_44|CGC1	2.A.79,HTH_AraC|HTH_AraC,GH2
MGYG000000001_45|CGC1	2.A.35,GH73,null,3.A.1,3.A.1,3.A.1,3.A.1
MGYG000000001_49|CGC1	4.A.6,4.A.6,4.A.6,CE9
MGYG000000001_50|CGC1	2.A.35,null,GH18
MGYG000000001_50|CGC2	1.E.14,2.A.122,2.A.115,null,null,CE4
MGYG000000001_63|CGC1	2.A.1,HTH_AraC|HTH_AraC,GH3
MGYG000000001_64|CGC1	CE4,null,2.A.45,2.A.79
MGYG000000001_73|CGC1	CE4,null,2.A.68,null,2.A.19
